SEQENCE_ID                     TM SP PREDICTION
cgd1_1480-RA-p1                 3  0 i24-52o72-91i112-133o
cgd1_1490-RA-p1                 0  0 o
cgd1_150-RA-p1                  0  Y n10-20c24/25o
cgd1_1500-RA-p1                 0  0 o
cgd1_1510-RA-p1                 0  Y n3-13c17/18o
cgd1_1520-RA-p1                11  0 i9-27o260-281i323-343o363-386i415-433o501-526i564-584o604-624i679-700o738-764i1272-1288o
cgd1_1530-RA-p1                 1  0 i115-135o
cgd1_1540-RA-p1                 0  0 o
cgd1_1550-RA-p1                 0  0 o
cgd1_1560-RA-p1                 0  0 o
cgd1_1570-RA-p1                 0  0 o
cgd1_1580-RA-p1                 0  0 o
cgd1_1590-RA-p1                 0  0 o
cgd1_160-RA-p1                  2  0 i7-26o902-919i
cgd1_1600-RA-p1                 0  0 o
cgd1_1610-RA-p1                 0  0 o
cgd1_1620-RA-p1                 0  0 o
cgd1_1630-RA-p1                 0  0 o
cgd1_1640-RA-p1                 0  0 o
cgd1_1650-RA-p1                 0  0 o
cgd1_1660-RA-p1                 0  0 o
cgd1_1670-RA-p1                 0  0 i
cgd1_1680-RA-p1                 0  Y n2-13c22/23o
cgd1_1690-RA-p1                 0  0 o
cgd1_170-RA-p1                  0  0 o
cgd1_1700-RA-p1                 0  0 o
cgd1_1710-RA-p1                 1  0 i55-73o
cgd1_1720-RA-p1                 0  0 o
cgd1_1730-RA-p1                 0  Y n6-17c22/23o
cgd1_1740-RA-p1                 1  0 o18-35i
cgd1_1750-RA-p1                10  0 i33-54o66-85i97-117o180-200i238-257o321-337i358-374o380-397i404-423o472-491i
cgd1_1760-RA-p1                 2  0 o52-73i302-322o
cgd1_1770-RA-p1                 3  0 o45-64i71-90o102-125i
cgd1_1780-RA-p1                 0  0 o
cgd1_1790-RA-p1                 7  0 i39-55o296-317i329-348o372-396i408-430o450-470i491-512o
cgd1_180-RA-p1                  0  0 o
cgd1_1800-RA-p1                 0  0 o
cgd1_1810-RA-p1                 0  0 o
cgd1_1820-RA-p1                 4  0 i29-46o52-68i75-95o107-132i
cgd1_1830-RA-p1                 3  0 o57-87i108-135o141-161i
cgd1_1840-RA-p1                 0  0 o
cgd1_1850-RA-p1                 0  0 o
cgd1_1860-RA-p1                 0  0 o
cgd1_1870-RA-p1                 1  Y n3-13c17/18o429-452i
cgd1_1880-RA-p1                 0  0 o
cgd1_1890-RA-p1                 1  0 i206-225o
cgd1_190-RA-p1                  0  0 o
cgd1_1900-RA-p1                 0  0 o
cgd1_1910-RA-p1                 0  0 o
cgd1_1920-RA-p1                 3  0 o398-421i687-710o4042-4060i
cgd1_1930-RA-p1                 0  0 o
cgd1_1940-RA-p1                 0  0 o
cgd1_1950-RA-p1                 0  0 o
cgd1_1960-RA-p1                 0  0 o
cgd1_1970-RA-p1                 4  0 i43-67o73-89i110-133o139-159i
cgd1_1980-RA-p1                 0  0 o
cgd1_1990-RA-p1                 0  0 o
cgd1_20-RA-p1                  11  0 i32-55o61-79i100-119o143-165i224-244o250-267i274-294o306-326i338-356o376-397i409-428o
cgd1_200-RA-p1                  0  0 o
cgd1_2000-RA-p1                 0  0 o
cgd1_2010-RA-p1                 0  0 o
cgd1_2020-RA-p1                 1  Y n6-17c21/22o178-201i
cgd1_203-RA-p1                  0  0 i
cgd1_2030-RA-p1                10  Y n11-22c26/27o50-77i89-109o152-172i179-197o287-306i318-336o399-421i433-452o458-479i491-516o
cgd1_2040-RA-p1                 0  Y n10-21c26/27o
cgd1_2050-RA-p1                 0  0 o
cgd1_2060-RA-p1                 0  0 o
cgd1_2070-RA-p1                 0  0 o
cgd1_2080-RA-p1                 4  0 i12-35o111-133i145-166o196-217i
cgd1_2090-RA-p1                 1  0 i64-84o
cgd1_210-RA-p1                  2  0 o32-51i63-80o
cgd1_2100-RA-p1                13  0 o27-49i61-82o94-110i117-135o141-164i176-204o270-291i303-320o326-342i349-367o373-391i403-424o430-456i
cgd1_2110-RA-p1                 1  0 i410-432o
cgd1_2120-RA-p1                 3  0 o599-618i668-689o709-731i
cgd1_2130-RA-p1                 0  0 o
cgd1_2140-RA-p1                 0  0 o
cgd1_2150-RA-p1                 0  0 o
cgd1_2160-RA-p1                 0  0 o
cgd1_2170-RA-p1                 0  0 o
cgd1_2180-RA-p1                 0  0 o
cgd1_2190-RA-p1                13  Y n13-24c28/29o401-421i428-447o453-472i484-507o513-534i541-563o612-636i643-659o665-682i703-723o729-751i763-784o790-811i
cgd1_220-RA-p1                  2  0 o6-23i403-424o
cgd1_2200-RA-p1                 0  0 o
cgd1_2210-RA-p1                 0  0 o
cgd1_2220-RA-p1                 0  0 o
cgd1_2230-RA-p1                 0  0 o
cgd1_2240-RA-p1                 0  Y n6-17c22/23o
cgd1_2250-RA-p1                 0  0 o
cgd1_2260-RA-p1                 0  0 o
cgd1_2270-RA-p1                 0  0 i
cgd1_2280-RA-p1                 0  0 o
cgd1_2290-RA-p1                 0  0 o
cgd1_2293-RA-p1                 0  0 o
cgd1_230-RA-p1                  1  0 o83-102i
cgd1_2300-RA-p1                15  0 i39-61o67-87i138-159o165-185i197-215o235-253i265-284o790-811i823-843o855-874i1000-1027o1082-1105i1117-1136o1191-1210i1222-1242o
cgd1_2310-RA-p1                 0  0 o
cgd1_2313-RA-p1                 0  0 o
cgd1_2320-RA-p1                 0  0 o
cgd1_2330-RA-p1                 0  0 o
cgd1_2340-RA-p1                 0  0 o
cgd1_2350-RA-p1                 0  0 o
cgd1_2360-RA-p1                 0  0 o
cgd1_2370-RA-p1                 7  0 o6-24i36-58o70-88i100-118o124-144i184-207o227-247i
cgd1_2380-RA-p1                 0  0 o
cgd1_2390-RA-p1                 1  Y n4-15c22/23o197-218i
cgd1_240-RA-p1                  0  Y n2-9c14/15o
cgd1_2400-RA-p1                 0  Y n5-16c21/22o
cgd1_2403-RA-p1                 0  0 o
cgd1_2410-RA-p1                 0  0 o
cgd1_2420-RA-p1                 0  0 o
cgd1_2430-RA-p1                 0  0 o
cgd1_2440-RA-p1                 0  Y n8-23c28/29o
cgd1_2450-RA-p1                 1  0 o889-908i
cgd1_2460-RA-p1                 0  0 i
cgd1_2470-RA-p1                 0  0 o
cgd1_2480-RA-p1                 0  0 o
cgd1_2490-RA-p1                 0  0 o
cgd1_250-RA-p1                  0  0 o
cgd1_2500-RA-p1                 0  0 o
cgd1_2510-RA-p1                 1  0 i53-77o
cgd1_2520-RA-p1                 0  0 i
cgd1_2530-RA-p1                 0  0 o
cgd1_2540-RA-p1                 0  0 o
cgd1_2550-RA-p1                 3  0 o70-87i108-126o132-156i
cgd1_2560-RA-p1                 0  0 o
cgd1_2570-RA-p1                 0  0 o
cgd1_2580-RA-p1                 0  0 o
cgd1_2590-RA-p1                 0  0 o
cgd1_260-RA-p1                  0  Y n3-13c17/18o
cgd1_2600-RA-p1                 1  0 i151-167o
cgd1_2610-RA-p1                 1  0 i41-58o
cgd1_2620-RA-p1                10  0 i68-95o101-120i164-187o199-219i231-252o323-342i363-386o392-420i427-447o453-472i
cgd1_2630-RA-p1                 0  0 o
cgd1_2640-RA-p1                 0  0 i
cgd1_2650-RA-p1                 0  0 o
cgd1_2660-RA-p1                 0  0 o
cgd1_2663-RA-p1                 0  0 o
cgd1_2670-RA-p1                 0  0 o
cgd1_2680-RA-p1                 0  0 o
cgd1_2690-RA-p1                 0  0 o
cgd1_270-RA-p1                  0  0 i
cgd1_2700-RA-p1                 0  0 o
cgd1_2710-RA-p1                 0  0 o
cgd1_2720-RA-p1                 0  0 o
cgd1_2730-RA-p1                 0  0 o
cgd1_2740-RA-p1                 0  0 o
cgd1_2750-RA-p1                 0  0 o
cgd1_2760-RA-p1                 0  0 o
cgd1_2770-RA-p1                 0  0 o
cgd1_2780-RA-p1                 5  0 i28-47o67-86i98-118o207-226i233-254o
cgd1_2783-RA-p1                 1  0 i127-144o
cgd1_2790-RA-p1                 0  0 o
cgd1_280-RA-p1                  1  0 i12-34o
cgd1_2800-RA-p1                 0  0 o
cgd1_2810-RA-p1                 0  0 o
cgd1_2830-RA-p1                 1  0 i304-322o
cgd1_2840-RA-p1                 0  0 o
cgd1_2850-RA-p1                 0  0 o
cgd1_2860-RA-p1                 0  0 o
cgd1_2870-RA-p1                 0  Y n3-14c19/20o
cgd1_2880-RA-p1                 0  0 o
cgd1_2890-RA-p1                 0  0 o
cgd1_290-RA-p1                  0  0 o
cgd1_2900-RA-p1                 0  0 o
cgd1_2910-RA-p1                 0  0 i
cgd1_2920-RA-p1                 1  0 o194-218i
cgd1_2940-RA-p1                 0  0 o
cgd1_2943-RA-p1                 0  0 o
cgd1_2950-RA-p1                 0  0 o
cgd1_2960-RA-p1                 0  0 o
cgd1_2970-RA-p1                 6  0 o6-23i35-54o138-160i172-189o213-233i361-383o
cgd1_2980-RA-p1                 0  0 o
cgd1_2990-RA-p1                 1  0 o83-110i
cgd1_30-RA-p1                  16  0 o154-171i255-273o390-410i431-457o495-516i537-561o567-584i596-623o916-935i1144-1162o1201-1223i1264-1283o1303-1323i1344-1367o1379-1397i1409-1435o
cgd1_300-RA-p1                  0  0 o
cgd1_3000-RA-p1                 0  0 i
cgd1_3010-RA-p1                 8  0 i28-46o52-74i86-103o115-137i149-166o178-198i210-229o244-264i
cgd1_3020-RA-p1                 0  0 o
cgd1_3030-RA-p1                 0  0 o
cgd1_3033-RA-p1                 0  0 o
cgd1_3040-RA-p1                 0  0 o
cgd1_3050-RA-p1                 6  0 i30-50o56-77i97-119o131-151i285-308o314-335i
cgd1_3060-RA-p1                 0  Y n10-17c22/23o
cgd1_3070-RA-p1                 5  0 i507-526o1488-1506i1826-1845o1915-1933i2133-2150o
cgd1_3080-RA-p1                 0  0 o
cgd1_3090-RA-p1                 0  0 i
cgd1_310-RA-p1                  0  0 o
cgd1_3100-RA-p1                 0  0 o
cgd1_3110-RA-p1                 0  0 o
cgd1_3120-RA-p1                 1  0 o281-300i
cgd1_3130-RA-p1                 0  0 o
cgd1_3140-RA-p1                 0  Y n6-13c18/19o
cgd1_3150-RA-p1                 0  0 o
cgd1_3160-RA-p1                 0  0 o
cgd1_3170-RA-p1                 0  0 o
cgd1_3180-RA-p1                 0  0 o
cgd1_3190-RA-p1                 0  0 o
cgd1_320-RA-p1                  0  0 i
cgd1_3200-RA-p1                 2  0 i140-160o166-188i
cgd1_3210-RA-p1                 0  0 o
cgd1_3220-RA-p1                 0  0 o
cgd1_3230-RA-p1                 0  0 o
cgd1_3240-RA-p1                 1  0 o3088-3106i
cgd1_3250-RA-p1                 1  Y n14-22c30/31o61-83i
cgd1_3260-RA-p1                 0  0 o
cgd1_3270-RA-p1                 0  0 o
cgd1_3280-RA-p1                 0  0 o
cgd1_3290-RA-p1                 2  0 o12-31i178-198o
cgd1_330-RA-p1                  0  0 o
cgd1_3300-RA-p1                 0  0 o
cgd1_3310-RA-p1                 0  0 o
cgd1_3320-RA-p1                 0  0 o
cgd1_3330-RA-p1                 0  0 o
cgd1_3340-RA-p1                 0  0 o
cgd1_3343-RA-p1                 0  0 o
cgd1_3350-RA-p1                 0  0 o
cgd1_3360-RA-p1                 1  0 i133-151o
cgd1_3370-RA-p1                 0  0 o
cgd1_3380-RA-p1                 8  0 i47-69o75-95i102-122o128-148i160-177o183-201i213-230o236-255i
cgd1_3390-RA-p1                 0  0 o
cgd1_340-RA-p1                  0  0 o
cgd1_3400-RA-p1                 0  0 o
cgd1_3410-RA-p1                 1  0 i12-33o
cgd1_3420-RA-p1                 0  0 o
cgd1_3430-RA-p1                 2  0 i12-38o44-64i
cgd1_3440-RA-p1                 0  0 o
cgd1_3450-RA-p1                 0  0 o
cgd1_3460-RA-p1                 0  0 o
cgd1_3470-RA-p1                 0  0 o
cgd1_3480-RA-p1                 0  0 o
cgd1_3490-RA-p1                 1  0 o69-90i
cgd1_350-RA-p1                  0  0 o
cgd1_3500-RA-p1                 1  Y n4-11c18/19o621-644i
cgd1_3510-RA-p1                 0  Y n7-17c22/23o
cgd1_3520-RA-p1                 0  0 o
cgd1_3530-RA-p1                 0  0 o
cgd1_3540-RA-p1                 2  0 o524-541i562-586o
cgd1_3543-RA-p1                 0  0 o
cgd1_3550-RA-p1                 0  0 o
cgd1_3560-RA-p1                 0  0 o
cgd1_3570-RA-p1                 0  0 o
cgd1_3580-RA-p1                 0  Y n6-20c25/26o
cgd1_3583-RA-p1                 1  0 o24-49i
cgd1_3590-RA-p1                 1  0 i89-110o
cgd1_360-RA-p1                  0  0 o
cgd1_3600-RA-p1                 0  0 o
cgd1_3610-RA-p1                 1  0 i21-42o
cgd1_3620-RA-p1                 0  0 o
cgd1_3630-RA-p1                 0  0 o
cgd1_3640-RA-p1                 0  Y n9-19c24/25o
cgd1_3650-RA-p1                 0  Y n6-19c24/25o
cgd1_3660-RA-p1                 0  0 o
cgd1_3670-RA-p1                 0  0 o
cgd1_3680-RA-p1                 1  0 o211-236i
cgd1_3690-RA-p1                 1  Y n6-17c22/23o764-782i
cgd1_370-RA-p1                  1  Y n10-22c27/28o697-720i
cgd1_3700-RA-p1                 0  0 o
cgd1_3710-RA-p1                 0  0 o
cgd1_3720-RA-p1                11  0 o21-38i45-66o97-118i130-151o171-188i195-212o232-248i260-281o287-303i308-324o336-357i
cgd1_3730-RA-p1                 1  0 o659-677i
cgd1_3740-RA-p1                 8  Y n6-13c18/19o893-914i946-968o974-995i1094-1119o1139-1161i1263-1281o1301-1324i1385-1406o
cgd1_3750-RA-p1                 0  0 o
cgd1_3760-RA-p1                 0  0 o
cgd1_3770-RA-p1                 4  0 i30-48o60-81i93-122o134-159i
cgd1_3780-RA-p1                 0  Y n6-18c22/23o
cgd1_3790-RA-p1                 1  Y n11-22c29/30o1053-1074i
cgd1_380-RA-p1                  1  0 o174-196i
cgd1_3800-RA-p1                 0  0 o
cgd1_3810-RA-p1                 0  Y n10-21c26/27o
cgd1_3820-RA-p1                 2  0 i42-62o963-986i
cgd1_3830-RA-p1                 0  Y n9-20c28/29o
cgd1_3840-RA-p1                 1  0 o620-640i
cgd1_3850-RA-p1                 4  Y n9-20c28/29o71-92i177-205o299-318i388-412o
cgd1_3860-RA-p1                 1  Y n3-12c17/18o53-74i
cgd1_390-RA-p1                  0  0 o
cgd1_40-RA-p1                   9  0 o6-24i44-64o98-119i128-146o152-171i218-237o252-271i280-301o307-327i
cgd1_400-RA-p1                  0  Y n10-21c25/26o
cgd1_410-RA-p1                  0  0 o
cgd1_420-RA-p1                  0  0 o
cgd1_430-RA-p1                  1  Y n6-17c22/23o166-188i
cgd1_440-RA-p1                  2  0 i21-42o163-179i
cgd1_450-RA-p1                  0  0 o
cgd1_460-RA-p1                  0  0 o
cgd1_470-RA-p1                  0  Y n4-14c21/22o
cgd1_480-RA-p1                  0  0 o
cgd1_490-RA-p1                  0  0 o
cgd1_493-RA-p1                  0  0 o
cgd1_50-RA-p1                   0  0 o
cgd1_500-RA-p1                  0  0 o
cgd1_510-RA-p1                  0  0 o
cgd1_520-RA-p1                  4  0 o12-32i53-75o95-117i129-150o
cgd1_530-RA-p1                  0  0 i
cgd1_540-RA-p1                  3  Y n10-21c39/40o55-76i88-107o127-152i
cgd1_543-RA-p1                  0  0 i
cgd1_550-RA-p1                  3  0 o6-25i539-556o1818-1838i
cgd1_560-RA-p1                  0  0 o
cgd1_570-RA-p1                  1  0 o6-23i
cgd1_580-RA-p1                  0  0 o
cgd1_590-RA-p1                  0  Y n4-15c22/23o
cgd1_60-RA-p1                   0  0 o
cgd1_600-RA-p1                  2  0 i176-197o252-270i
cgd1_610-RA-p1                  0  0 o
cgd1_620-RA-p1                  0  Y n12-23c32/33o
cgd1_630-RA-p1                  0  0 o
cgd1_640-RA-p1                  0  Y n7-15c20/21o
cgd1_650-RA-p1                  0  Y n9-20c25/26o
cgd1_660-RA-p1                  1  Y n3-14c18/19o316-337i
cgd1_670-RA-p1                  2  Y n9-17c22/23o733-749i950-969o
cgd1_680-RA-p1                  0  0 o
cgd1_690-RA-p1                  0  0 o
cgd1_70-RA-p1                   0  0 o
cgd1_700-RA-p1                 12  0 i121-141o161-181i240-260o266-285i347-370o376-396i843-865o877-905i926-948o968-991i1064-1083o1089-1114i
cgd1_710-RA-p1                  0  0 o
cgd1_720-RA-p1                  0  0 o
cgd1_730-RA-p1                  0  Y n3-14c21/22o
cgd1_733-RA-p1                  0  0 o
cgd1_740-RA-p1                  0  0 o
cgd1_750-RA-p1                  0  0 o
cgd1_760-RA-p1                  0  0 o
cgd1_770-RA-p1                  0  0 o
cgd1_780-RA-p1                  2  0 i69-87o93-111i
cgd1_790-RA-p1                  0  0 o
cgd1_80-RA-p1                   1  0 o6-25i
cgd1_800-RA-p1                  0  Y n4-15c22/23o
cgd1_810-RA-p1                  0  0 o
cgd1_820-RA-p1                  4  0 i271-290o302-322i508-527o586-609i
cgd1_830-RA-p1                  0  0 o
cgd1_840-RA-p1                  0  0 o
cgd1_843-RA-p1                  0  0 o
cgd1_850-RA-p1                  0  0 o
cgd1_860-RA-p1                  0  0 o
cgd1_870-RA-p1                  0  Y n4-15c20/21o
cgd1_880-RA-p1                  0  0 o
cgd1_890-RA-p1                  3  0 i21-39o59-75i459-479o
cgd1_90-RA-p1                   0  0 o
cgd1_900-RA-p1                  3  0 i12-31o37-54i66-87o
cgd1_910-RA-p1                  0  0 o
cgd1_920-RA-p1                  0  0 o
cgd1_930-RA-p1                  0  0 o
cgd1_940-RA-p1                  3  0 o31-49i88-111o137-160i
cgd1_950-RA-p1                  1  Y n14-25c30/31o448-470i
cgd1_960-RA-p1                  0  0 o
cgd1_970-RA-p1                  0  0 o
cgd1_980-RA-p1                  0  0 o
cgd1_990-RA-p1                 13  Y n8-23c28/29o52-74i86-103o109-128i140-159o179-197i217-236o242-262i269-288o294-313i1036-1055o1061-1079i1091-1109o1115-1137i
Cgd2_140-RA-p1                  1  0 i31-49o
Cgd2_1810-RA-p1                 0  0 o
Cgd2_2990-RA-p1                 0  0 o
cgd2_10-RA-p1                   0  0 o
cgd2_100-RA-p1                  0  0 o
cgd2_1000-RA-p1                 0  0 o
cgd2_1010-RA-p1                 0  0 o
cgd2_1020-RA-p1                 0  0 o
cgd2_1030-RA-p1                 3  0 i181-202o222-242i289-307o
cgd2_1040-RA-p1                 0  0 o
cgd2_1050-RA-p1                 1  0 i7-29o
cgd2_1060-RA-p1                 0  0 o
cgd2_1070-RA-p1                 0  0 i
cgd2_1080-RA-p1                 0  0 o
cgd2_1090-RA-p1                10  0 o38-58i79-97o135-154i161-181o227-243i264-284o304-324i379-401o407-426i438-462o
cgd2_110-RA-p1                  0  0 o
cgd2_1100-RA-p1                 0  0 o
cgd2_1110-RA-p1                 0  0 o
cgd2_1120-RA-p1                 2  0 o12-31i82-109o
cgd2_1130-RA-p1                 0  0 o
cgd2_1140-RA-p1                 1  0 i295-319o
cgd2_1150-RA-p1                 0  0 o
cgd2_1160-RA-p1                 2  0 i310-331o351-368i
cgd2_1170-RA-p1                 0  0 o
cgd2_1190-RA-p1                 0  0 o
cgd2_120-RA-p1                  0  0 o
cgd2_1200-RA-p1                 6  0 i98-118o130-146i167-187o199-222i234-251o257-277i
cgd2_1210-RA-p1                 0  0 o
cgd2_1220-RA-p1                 0  0 o
cgd2_1230-RA-p1                 3  0 o527-546i573-592o620-643i
cgd2_1240-RA-p1                 0  0 o
cgd2_1250-RA-p1                 0  0 o
cgd2_1260-RA-p1                 0  0 o
cgd2_1270-RA-p1                 6  0 i20-39o54-76i83-101o136-159i205-223o398-425i
cgd2_1280-RA-p1                 0  0 o
cgd2_1290-RA-p1                 2  0 i7-26o313-334i
cgd2_130-RA-p1                  0  Y n5-12c16/17o
cgd2_1300-RA-p1                 0  0 o
cgd2_1310-RA-p1                11  0 o26-46i86-106o118-136i143-164o176-197i209-228o318-337i349-366o372-393i405-424o436-455i
cgd2_1330-RA-p1                 0  0 o
cgd2_1340-RA-p1                 0  0 o
cgd2_1350-RA-p1                 0  0 o
cgd2_1360-RA-p1                 0  Y n8-16c21/22o
cgd2_1370-RA-p1                 0  0 o
cgd2_1380-RA-p1                 0  0 o
cgd2_1390-RA-p1                 0  0 o
cgd2_1400-RA-p1                 0  0 o
cgd2_1410-RA-p1                 0  0 o
cgd2_1420-RA-p1                 1  0 o458-479i
cgd2_1430-RA-p1                 0  0 o
cgd2_1440-RA-p1                 0  0 o
cgd2_1450-RA-p1                12  0 i61-83o103-123i130-147o159-177i189-208o241-263i342-364o376-400i412-434o440-466i487-507o527-550i
cgd2_1460-RA-p1                 0  0 o
cgd2_1470-RA-p1                 0  0 o
cgd2_1480-RA-p1                 0  0 o
cgd2_1490-RA-p1                 7  0 o6-24i45-68o101-120i132-154o160-184i208-241o253-271i
cgd2_150-RA-p1                  0  0 i
cgd2_1500-RA-p1                 0  0 o
cgd2_1510-RA-p1                 0  0 o
cgd2_1520-RA-p1                 2  0 i530-552o564-587i
cgd2_1530-RA-p1                 0  0 o
cgd2_1540-RA-p1                 0  0 o
cgd2_1550-RA-p1                 1  0 o314-336i
cgd2_1560-RA-p1                15  0 o6-22i27-48o60-78i90-112o118-134i146-165o177-195i207-226o246-265i286-304o324-343i350-369o398-417i429-455o467-488i
cgd2_1570-RA-p1                 0  0 o
cgd2_1580-RA-p1                 0  0 o
cgd2_1590-RA-p1                 1  0 i12-28o
cgd2_160-RA-p1                  0  0 o
cgd2_1600-RA-p1                 0  0 o
cgd2_1610-RA-p1                 0  0 o
cgd2_1620-RA-p1                 0  0 o
cgd2_1630-RA-p1                 0  0 o
cgd2_1640-RA-p1                 0  0 o
cgd2_1650-RA-p1                 1  Y n4-16c24/25o444-463i
cgd2_1660-RA-p1                 0  0 o
cgd2_1670-RA-p1                 0  0 o
cgd2_1680-RA-p1                 0  0 o
cgd2_1690-RA-p1                 2  0 i12-31o61-80i
cgd2_170-RA-p1                  0  0 o
cgd2_1700-RA-p1                 0  0 o
cgd2_1710-RA-p1                 3  0 i16-36o380-407i573-591o
cgd2_1713-RA-p1                 0  0 o
cgd2_1720-RA-p1                 1  0 o443-465i
cgd2_1730-RA-p1                 1  0 i12-30o
cgd2_1740-RA-p1                 0  0 o
cgd2_1750-RA-p1                 0  0 o
cgd2_1760-RA-p1                 0  0 o
cgd2_1770-RA-p1                 0  0 o
cgd2_1780-RA-p1                 0  Y n3-14c22/23o
cgd2_1790-RA-p1                 1  0 o543-564i
cgd2_180-RA-p1                  0  0 o
cgd2_1800-RA-p1                 0  0 o
cgd2_1820-RA-p1                 0  0 o
cgd2_1823-RA-p1                 0  0 i
cgd2_1830-RA-p1                 0  0 i
cgd2_1840-RA-p1                 0  Y n3-11c19/20o
cgd2_1850-RA-p1                 0  0 o
cgd2_1860-RA-p1                 1  0 o1122-1143i
cgd2_1870-RA-p1                 0  0 o
cgd2_1880-RA-p1                 0  0 o
cgd2_1890-RA-p1                 0  0 o
cgd2_190-RA-p1                  3  0 i7-28o34-54i66-96o
cgd2_1900-RA-p1                 0  0 o
cgd2_1910-RA-p1                 0  0 o
cgd2_1920-RA-p1                 2  0 o206-227i368-385o
cgd2_1930-RA-p1                 0  0 i
cgd2_1940-RA-p1                 0  0 o
cgd2_1950-RA-p1                 0  0 o
cgd2_1960-RA-p1                 0  0 o
cgd2_1970-RA-p1                 0  0 o
cgd2_1980-RA-p1                 0  0 o
cgd2_1990-RA-p1                 1  0 o215-231i
cgd2_20-RA-p1                   0  0 o
cgd2_200-RA-p1                  0  0 o
cgd2_2000-RA-p1                 4  0 i52-73o79-98i118-141o147-173i
cgd2_2010-RA-p1                 4  0 i37-58o64-83i103-125o145-171i
cgd2_2020-RA-p1                 0  0 o
cgd2_2030-RA-p1                 0  0 o
cgd2_2040-RA-p1                 0  0 o
cgd2_2050-RA-p1                 0  0 o
cgd2_2060-RA-p1                 0  0 o
cgd2_2070-RA-p1                 0  0 o
cgd2_2080-RA-p1                 0  0 o
cgd2_2090-RA-p1                 0  0 o
cgd2_210-RA-p1                  1  0 i12-32o
cgd2_2100-RA-p1                 0  Y n9-20c25/26o
cgd2_2110-RA-p1                 0  Y n7-18c23/24o
cgd2_2120-RA-p1                 0  Y n26-34c39/40o
cgd2_2130-RA-p1                 0  0 o
cgd2_2140-RA-p1                14  0 o35-54i278-299o334-357i402-424o444-468i480-498o513-541i660-681o1075-1102i1227-1250o1335-1356i1407-1430o1436-1455i1486-1511o
cgd2_2150-RA-p1                 0  0 o
cgd2_2160-RA-p1                 1  Y n6-16c21/22o929-949i
cgd2_2170-RA-p1                 0  0 o
cgd2_2180-RA-p1                 0  0 o
cgd2_2190-RA-p1                 4  0 i12-38o50-71i149-172o221-245i
cgd2_220-RA-p1                  0  0 o
cgd2_2200-RA-p1                 0  0 o
cgd2_2210-RA-p1                 0  0 o
cgd2_2220-RA-p1                 0  0 o
cgd2_2230-RA-p1                 0  0 o
cgd2_2240-RA-p1                 0  0 o
cgd2_2250-RA-p1                 2  0 i21-40o46-64i
cgd2_2260-RA-p1                 0  Y n5-16c21/22o
